t,RC,Vin,Vout
2.1121121121121122,1,1,-0.25114298394042683
2.1221221221221223,1,1,-0.2386815038616567
2.1321321321321323,1,1,-0.22634414168827638
2.1421421421421423,1,1,-0.21412966115319598
2.1521521521521523,1,1,-0.20203683832046834
2.1621621621621623,1,1,-0.19006446134017863
2.1721721721721723,1,1,-0.1782113303010554
2.1821821821821823,1,1,-0.16647625708308203
2.1921921921921923,1,1,-0.1548580652101075
2.2022022022022023,1,1,-0.14335559055211333
2.2122122122122123,1,1,-0.13196768171634318
2.2222222222222223,1,1,-0.12069319765835076
2.2322322322322323,1,1,-0.1095310086172647
2.2422422422422423,1,1,-0.09847999601757523
2.2522522522522523,1,1,-0.08753905234128458
2.2622622622622623,1,1,-0.07670708100005742
2.2722722722722724,1,1,-0.0659829962400279
2.2822822822822824,1,1,-0.05536572402620454
2.2922922922922924,1,1,-0.04485420087414814
2.3023023023023024,1,1,-0.03444737351723632
2.3123123123123124,1,1,-0.02414419914095149
2.3223223223223224,1,1,-0.013943645266887135
2.3323323323323324,1,1,-0.0038446896367541443
2.3423423423423424,1,1,0.006153679903612926
2.3523523523523524,1,1,0.01605246533110137
2.3623623623623624,1,1,0.02585265796537095
2.3723723723723724,1,1,0.035555239714991325
2.3823823823823824,1,1,0.045161182805717584
2.3923923923923924,1,1,0.0546714498206568
2.4024024024024024,1,1,0.06408699380781359
2.4124124124124124,1,1,0.0734087583876355
2.4224224224224224,1,1,0.08263767786055852
2.4324324324324325,1,1,0.09177467668205715
2.4424424424424425,1,1,0.10082067030781142
2.4524524524524525,1,1,0.109776564908378
2.4624624624624625,1,1,0.1186432579254231
2.4724724724724725,1,1,0.12742163789172944
2.4824824824824825,1,1,0.1361125845350712
2.4924924924924925,1,1,0.14471696888103855
2.5025025025025025,1,1,0.15323565327935312
2.5125125125125125,1,1,0.16166949076178067
2.5225225225225225,1,1,0.1700193262186567
2.5325325325325325,1,1,0.17828599631996236
2.5425425425425425,1,1,0.18647032943196912
2.5525525525525525,1,1,0.1945731457040298
2.5625625625625625,1,1,0.20259525715391072
2.5725725725725725,1,1,0.21053746775166454
2.5825825825825826,1,1,0.21840057350204434
2.5925925925925926,1,1,0.2261853625254583
2.6026026026026026,1,1,0.23389261513746537
2.6126126126126126,1,1,0.2415231035956413
2.6226226226226226,1,1,0.24907759219973757
2.6326326326326326,1,1,0.2565568379510944
2.6426426426426426,1,1,0.26396159028434274
2.6526526526526526,1,1,0.2712925911308547
2.6626626626626626,1,1,0.2785505749824767
2.6726726726726726,1,1,0.28573626895351584
2.6826826826826826,1,1,0.29285039284097913
2.6926926926926926,1,1,0.29989365918306593
2.7027027027027026,1,1,0.30686677331591333
2.7127127127127126,1,1,0.3137704336251539
2.7227227227227226,1,1,0.32060533284948645
2.7327327327327327,1,1,0.32737215610327297
2.7427427427427427,1,1,0.33407158143759946
2.7527527527527527,1,1,0.3407042801365278
2.7627627627627627,1,1,0.3472709167805804
2.7727727727727727,1,1,0.35377214930919826
2.7827827827827827,1,1,0.3602086290821731
2.7927927927927927,1,1,0.3665810009400541
2.8028028028028027,1,1,0.37288990326352794
2.8128128128128127,1,1,0.3791359680317765
2.8228228228228227,1,1,0.385319821258876
2.8328328328328327,1,1,0.3914420828707552
2.8428428428428427,1,1,0.39750336633227146
2.8528528528528527,1,1,0.40350427899498753
2.8628628628628627,1,1,0.40944542215686586
2.8728728728728727,1,1,0.41532739112121303
2.8828828828828827,1,1,0.42115077525487404
2.8928928928928928,1,1,0.4269161580456774
2.9029029029029028,1,1,0.43262411715913
2.9129129129129128,1,1,0.43827522449436285
2.9229229229229228,1,1,0.44387004625093635
2.932932932932933,1,1,0.4494091430749342
2.942942942942943,1,1,0.45489307009830743
2.952952952952953,1,1,0.46032237691614597
2.962962962962963,1,1,0.46569760748258127
2.972972972972973,1,1,0.4710193002831431
2.982982982982983,1,1,0.4762879885457294
2.992992992992993,1,1,0.4815042002535665
3.003003003003003,1,-1,0.48067150346110316
3.013013013013013,1,-1,0.4659239018520005
3.023023023023023,1,-1,0.45132318748488276
3.033033033033033,1,-1,0.43686789735223786
3.043043043043043,1,-1,0.42255658301643356
3.053053053053053,1,-1,0.4083878104676358
3.063063063063063,1,-1,0.394360159978882
3.073073073073073,1,-1,0.38047222596364855
3.083083083083083,1,-1,0.36672261684053736
3.093093093093093,1,-1,0.3531099549166096
3.103103103103103,1,-1,0.33963287620300797
3.113113113113113,1,-1,0.3262900302883602
3.123123123123123,1,-1,0.3130800802043775
